Date,Block,Primary Type,Description,Location Description,Ward,Community Area,Year,Location
04/11/2016 06:00:00 PM,049XX W GEORGE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31.0,19.0,2016,"(41.933315451, -87.74998592)"
04/13/2016 08:30:00 PM,022XX N LAMON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31.0,19.0,2016,"(41.921011923, -87.748679663)"
04/13/2016 01:00:00 AM,050XX W GLADYS AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,28.0,25.0,2016,"(41.875808313, -87.750747843)"
04/16/2016 06:00:00 PM,026XX N MULLIGAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29.0,19.0,2016,"(41.927851075, -87.78436602)"
04/18/2016 01:00:00 AM,039XX W HARRISON ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,24.0,26.0,2016,"(41.873458914, -87.723205608)"
04/18/2016 05:30:00 PM,039XX N LINDER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,38.0,15.0,2016,"(41.951741574, -87.764489681)"
04/24/2016 12:30:00 AM,057XX N KENMORE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,48.0,77.0,2016,"(41.986875542, -87.65671401)"
04/24/2016 10:00:00 PM,037XX N SOUTHPORT AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,44.0,6.0,2016,"(41.949419183, -87.664080089)"
04/26/2016 06:50:00 PM,011XX W WRIGHTWOOD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,32.0,7.0,2016,"(41.928949805, -87.657010457)"
05/06/2016 06:45:00 AM,078XX S ST LOUIS AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,18.0,70.0,2016,"(41.751123481, -87.709750512)"
05/06/2016 02:00:00 AM,047XX N MAGNOLIA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,46.0,3.0,2016,"(41.967631946, -87.661168428)"
05/06/2016 09:30:00 AM,015XX E 62ND ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,5.0,42.0,2016,"(41.782901085, -87.587497353)"
05/06/2016 01:00:00 AM,057XX N ARTESIAN AVE,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,40.0,2.0,2016,"(41.985811451, -87.690737225)"
05/06/2016 11:00:00 AM,023XX N LATROBE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,37.0,19.0,2016,"(41.923094674, -87.757343638)"
05/06/2016 12:30:00 AM,043XX W MONROE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,28.0,26.0,2016,"(41.8796663, -87.73360462)"
05/06/2016 06:30:00 AM,036XX W LAKE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,28.0,27.0,2016,"(41.884930978, -87.716221792)"
05/06/2016 09:00:00 AM,035XX N LAKE SHORE DR,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,46.0,6.0,2016,"(41.947225807, -87.642639219)"
05/06/2016 07:15:00 PM,046XX W FULLERTON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31.0,19.0,2016,"(41.92429378, -87.742200726)"
05/06/2016 05:00:00 PM,066XX S RHODES AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,20.0,42.0,2016,"(41.774137872, -87.611882693)"
05/06/2016 10:30:00 PM,042XX W GRENSHAW ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,24.0,29.0,2016,"(41.866996537, -87.731068667)"
05/06/2016 02:00:00 AM,043XX S DR MARTIN LUTHER KING JR DR,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,3.0,38.0,2016,"(41.816180724, -87.616777947)"
05/06/2016 09:20:00 PM,008XX W 49TH PL,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,3.0,61.0,2016,"(41.804291366, -87.646692609)"
05/06/2016 07:30:00 PM,052XX S HOMAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,14.0,63.0,2016,"(41.79835755, -87.708596002)"
05/06/2016 08:00:00 PM,079XX S LUELLA AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,7.0,46.0,2016,"(41.750764904, -87.56987213)"
05/06/2016 11:00:00 AM,040XX S CALUMET AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,3.0,38.0,2016,"(41.821347845, -87.618484999)"
05/06/2016 10:00:00 PM,030XX N NORDICA AVE,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,36.0,18.0,2016,"(41.93560656, -87.802521566)"
05/06/2016 09:00:00 PM,033XX W EVERGREEN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,26.0,23.0,2016,"(41.905528298, -87.710454372)"
05/06/2016 09:00:00 AM,075XX S DAMEN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,18.0,67.0,2016,"(41.756927283, -87.673322259)"
05/06/2016 11:00:00 PM,017XX W BEACH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1.0,24.0,2016,"(41.907553957, -87.671765678)"
05/06/2016 06:00:00 PM,006XX W ARLINGTON PL,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),43.0,7.0,2016,"(41.926708497, -87.64512423)"
05/06/2016 08:30:00 AM,010XX W 104TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34.0,73.0,2016,"(41.705050174, -87.64824761)"
04/28/2016 09:00:00 AM,012XX W WEBSTER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),32.0,7.0,2016,"(41.92165605, -87.658943095)"
05/07/2016 12:01:00 AM,096XX S EWING AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,10.0,52.0,2016,"(41.720660904, -87.535291003)"
05/07/2016 12:05:00 AM,066XX S EVANS AVE,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE NO VIN",STREET,20.0,42.0,2016,"(41.774483417, -87.607054294)"
05/07/2016 03:00:00 AM,123XX S EMERALD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34.0,53.0,2016,"(41.669818254, -87.640440941)"
05/07/2016 12:01:00 AM,027XX N FRANCISCO AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,35.0,22.0,2016,"(41.930710076, -87.700051756)"
05/07/2016 01:00:00 AM,028XX N SPRINGFIELD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,30.0,21.0,2016,"(41.932818488, -87.724562303)"
05/07/2016 02:00:00 AM,025XX N WAYNE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,32.0,7.0,2016,"(41.927599841, -87.662187828)"
05/07/2016 07:00:00 AM,006XX N PARKSIDE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29.0,25.0,2016,"(41.891782115, -87.76655721)"
05/07/2016 01:00:00 PM,041XX S ASHLAND AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),12.0,61.0,2016,"(41.819027613, -87.665219378)"
05/07/2016 04:00:00 PM,043XX S PULASKI RD,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),14.0,57.0,2016,"(41.814345252, -87.723829326)"
05/07/2016 10:45:00 PM,007XX N LARRABEE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,DRIVEWAY - RESIDENTIAL,42.0,8.0,2016,"(41.895271296, -87.642953212)"
05/07/2016 11:00:00 PM,073XX N SHERIDAN RD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,49.0,1.0,2016,"(42.014573954, -87.664431457)"
05/07/2016 03:00:00 PM,063XX W MELROSE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,36.0,17.0,2016,"(41.939257053, -87.784569593)"
05/07/2016 11:00:00 PM,022XX N KEELER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,31.0,20.0,2016,"(41.921296759, -87.731572463)"
05/07/2016 11:00:00 PM,029XX N MOBILE AVE,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",RESIDENTIAL YARD (FRONT/BACK),29.0,19.0,2016,"(41.933414189, -87.783337051)"
05/07/2016 06:00:00 PM,011XX W ARDMORE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,48.0,77.0,2016,"(41.987298533, -87.658644287)"
05/07/2016 09:00:00 PM,078XX S STATE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,GAS STATION,6.0,69.0,2016,"(41.751452878, -87.624567581)"
05/07/2016 06:00:00 PM,081XX S HOYNE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,18.0,71.0,2016,"(41.745942652, -87.675380591)"
05/07/2016 02:00:00 PM,030XX W 48TH PL,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),14.0,58.0,2016,"(41.805208235, -87.700746353)"
05/07/2016 10:00:00 PM,007XX S KOSTNER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),24.0,26.0,2016,"(41.871296168, -87.735151505)"
05/07/2016 06:00:00 PM,096XX S YATES AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,7.0,51.0,2016,"(41.719749752, -87.564671691)"
05/07/2016 08:00:00 PM,083XX S BURLEY AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,10.0,46.0,2016,"(41.743722853, -87.545456061)"
05/07/2016 06:00:00 PM,057XX N MANGO AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,45.0,11.0,2016,"(41.985320629, -87.771922309)"
05/07/2016 08:00:00 PM,013XX W ESTES AVE,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE W-VIN",STREET,49.0,1.0,2016,"(42.011600103, -87.663634697)"
05/07/2016 04:00:00 AM,008XX W DIVERSEY PKWY,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,44.0,6.0,2016,"(41.932690845, -87.650631381)"
04/02/2016 05:48:00 PM,116XX S LOWE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,34.0,53.0,2016,
05/08/2016 01:00:00 AM,082XX S GREEN ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,21.0,71.0,2016,"(41.744461578, -87.64507688)"
10/31/2015 12:00:00 AM,056XX S ARTESIAN AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,16.0,63.0,2015,
02/13/2015 09:35:00 PM,065XX W FULLERTON AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),36.0,19.0,2015,"(41.923649552, -87.788954862)"
02/27/2015 12:00:00 PM,056XX N SHERIDAN RD,MOTOR VEHICLE THEFT,AUTOMOBILE,VEHICLE NON-COMMERCIAL,48.0,77.0,2015,"(41.984506698, -87.655216366)"
04/08/2016 04:06:00 AM,065XX S BISHOP ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,17.0,67.0,2016,"(41.775148861, -87.66045078)"
04/08/2016 09:48:00 AM,004XX E 63RD ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,20.0,42.0,2016,"(41.780253982, -87.614802244)"
04/08/2016 08:00:00 AM,083XX S DORCHESTER AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,8.0,45.0,2016,
04/08/2016 12:10:00 PM,012XX W WASHINGTON BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,27.0,28.0,2016,
04/08/2016 07:30:00 AM,082XX S KENWOOD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,8.0,45.0,2016,"(41.745013036, -87.591688337)"
05/08/2016 05:02:00 AM,016XX N MOZART ST,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,VEHICLE NON-COMMERCIAL,1.0,24.0,2016,"(41.910789532, -87.698029691)"
04/08/2016 12:45:00 PM,071XX S HARVARD AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,ALLEY,6.0,69.0,2016,"(41.76471549, -87.6334241)"
04/08/2016 01:06:00 AM,069XX S LOOMIS BLVD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,17.0,67.0,2016,
04/08/2016 06:00:00 AM,086XX S COTTAGE GROVE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,DRUG STORE,6.0,44.0,2016,"(41.737750767, -87.604855911)"
04/08/2016 12:01:00 AM,022XX W OAKDALE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1.0,5.0,2016,"(41.934950909, -87.684018845)"
04/08/2016 01:15:00 PM,040XX S NORMAL AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,11.0,61.0,2016,"(41.820496667, -87.638536462)"
04/08/2016 09:07:00 PM,029XX W 25TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,12.0,30.0,2016,"(41.846416034, -87.698222884)"
04/08/2016 07:16:00 PM,035XX W 13TH PL,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,ALLEY,24.0,29.0,2016,"(41.864098105, -87.713947792)"
04/08/2016 09:00:00 PM,092XX S CALUMET AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6.0,49.0,2016,"(41.726502803, -87.615474754)"
04/08/2016 05:00:00 PM,110XX S DR MARTIN LUTHER KING JR DR,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,9.0,49.0,2016,"(41.693901037, -87.613406162)"
04/08/2016 11:00:00 PM,021XX N MONITOR AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29.0,19.0,2016,"(41.918581058, -87.771879356)"
04/08/2016 07:00:00 PM,033XX W MARQUETTE RD,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,15.0,66.0,2016,"(41.771616912, -87.70653503)"
04/08/2016 10:00:00 PM,031XX W 15TH ST,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",STREET,24.0,29.0,2016,"(41.86132055, -87.704286779)"
04/08/2016 08:00:00 PM,016XX W WINONA ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,47.0,3.0,2016,"(41.975231072, -87.670683257)"
04/08/2016 09:30:00 PM,056XX N BROADWAY,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,48.0,77.0,2016,"(41.984307605, -87.660088247)"
04/08/2016 10:30:00 PM,026XX W 35TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,12.0,58.0,2016,"(41.830176645, -87.690542273)"
04/08/2016 10:00:00 AM,024XX W CULLOM AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,47.0,5.0,2016,"(41.95948525, -87.689567902)"
04/08/2016 11:00:00 PM,028XX W GLENLAKE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,50.0,2.0,2016,"(41.992175042, -87.701079777)"
04/08/2016 04:30:00 PM,077XX S MICHIGAN AVE,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,6.0,69.0,2016,"(41.753785441, -87.621445098)"
04/08/2016 06:45:00 PM,006XX W MELROSE ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,44.0,6.0,2016,"(41.941110367, -87.646075736)"
04/08/2016 01:00:00 PM,080XX S PAULINA ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,21.0,71.0,2016,"(41.74799231, -87.665806177)"
04/08/2016 07:00:00 PM,057XX S WABASH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,20.0,40.0,2016,"(41.790363328, -87.623977766)"
04/08/2016 05:15:00 PM,013XX N WOOD ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,1.0,24.0,2016,"(41.905914315, -87.672010367)"
05/08/2016 12:30:00 AM,012XX W SCHUBERT AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE-GARAGE,32.0,7.0,2016,"(41.930714628, -87.660328707)"
05/08/2016 09:30:00 AM,057XX W DIVISION ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,29.0,25.0,2016,"(41.90208551, -87.769650901)"
05/08/2016 06:00:00 PM,057XX S BISHOP ST,MOTOR VEHICLE THEFT,THEFT/RECOVERY: AUTOMOBILE,STREET,16.0,67.0,2016,"(41.789816611, -87.660836447)"
05/08/2016 12:00:00 PM,001XX W 87TH ST,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),21.0,44.0,2016,"(41.736259984, -87.628068782)"
05/08/2016 08:50:00 PM,081XX S INGLESIDE AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,8.0,44.0,2016,"(41.7470212, -87.601427426)"
05/08/2016 11:00:00 PM,003XX S RICHMOND ST,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,2.0,27.0,2016,"(41.876809462, -87.699857139)"
05/08/2016 02:00:00 PM,075XX S WABASH AVE,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,6.0,69.0,2016,"(41.757379936, -87.623131628)"
